OverallRating,Comment,FeedbackCategory,Subcategory
Neutral,He then calls and is on the phone for over 30 minutes. Please email me,All Other,Customer Service Interaction
Satisfied, I emailed last year and sat on hold for a time to talk to a Rep about this,All Other,Customer Service Interaction
Disappointed,"Everytime I chat with someone, they end the chat before I can even respond. It is very frustrating. It happened just now with Yvonne and has happened each time I have chatted with someone on several occasions. They tell me their solution and then just end the chat. They don't even ask if there is anything else I need, or even provide a normal response time for me to respond each time they send a response or question to me. Can you please relay this along as customer service is getting a bad rep for this.",All Other,Customer Service Interaction
Disappointed," The person I did chat with told me I needed to go the the ""arrow"". When I asked what arrow, she said scroll down to the bottom of the screen, for teachers I've been teaching 15 years and have placed scholastic orders each of those years. This didn't used to be so difficult.",All Other,Customer Service Interaction
Neutral,The phone number to call in said it could not be completed at this time. I sent an email. I will see what happens.,All Other,Customer Service Interaction
Neutral,"When I tried the chat feature for help, the session timed out and I never got help.",All Other,Customer Service Interaction
Neutral,"I did not appreciate that a call back was never made from Scholastic.  I had to log in, call, send a message and finally, took me submitting a chat before I had my questions answered.",All Other,Customer Service Interaction
Neutral,"I ordered some books for my younger son because his teacher sent home a book order. Today, my younger son came home with his book order, but my older son did not. My older son's order still just says ""Submitted to teacher."" Is there something else that I need to do?",All Other,Delayed/Never Received Order
Very Disappointed,I was searching for the book order that I made for my son early in the year (2020 - 2021) . I have never received this order or an explanation as to why not. I will make no future purchases.,All Other,Delayed/Never Received Order
Neutral,"on 9-9 I submitted orders for Emery and Alcie.  Alcies ordered was delivered today, But   Emerys was not",All Other,Delayed/Never Received Order
Neutral,"Had been calling to clarify my order. Still missing a book I ordered back on May 20, 2022. ",All Other,Delayed/Never Received Order
Very Disappointed,I am frustrated that the last two orders I made were canceled and not by me!  I choose to have our orders come to my home because we are within a high school that does not give us our mail.,All Other,Delayed/Never Received Order
Very Satisfied,Glad to see the shipping issues of the past seem to be fixed.,All Other,Hopeful Shipping Improves This Year
Satisfied,Look forward to things returning back to normal after the supply chain issues and the pandemic.,All Other,Hopeful Shipping Improves This Year
Very Satisfied,"I am hoping that orders will be delivered in a more timely fashion this year.  Last year, orders would take up to three weeks to process and parents were getting upset.  I am hoping there will be a faster turn around time this year.",All Other,Hopeful Shipping Improves This Year
Very Satisfied,I am hoping that shipping is a lot more timely this year.  I quit ordering last year(after 35 years of book ordering) because of the shipping time.  (I was embarassed in front of my class),All Other,Hopeful Shipping Improves This Year
Satisfied,"I had a lot of problems with orders last year and was very frustrated with Scholastic.  I had a shipment get lost, a shipment go to a school I haven't taught at for 8 years, and shipping delays like crazy.",All Other,Hopeful Shipping Improves This Year
Satisfied,I hope the shipping issues are resolved.,All Other,Hopeful Shipping Improves This Year
Satisfied,"Then we can just let the families know, and there is not this long wait time, like last year.",All Other,Hopeful Shipping Improves This Year
Satisfied,I hope that the books do not take as long as last year to arrive!,All Other,Hopeful Shipping Improves This Year
Disappointed, I really hope this isn't a repeat of last year when I waited from Sept. to the end of Nov. for my first book order....,All Other,Hopeful Shipping Improves This Year
Very Satisfied,I know that last year you had difficulties that were outside your reach. But this year I've already placed one order and received it in record time. Keep up the great job.,All Other,Hopeful Shipping Improves This Year
Very Satisfied,I know shipping was a nightmare during covid but I ordered many books last year for my class and parents and I both had an easy time doing so. The books eventually got to us :) I hope this year is a bit quicker with shipping.,All Other,Hopeful Shipping Improves This Year
Very Satisfied,Hoping the delayed shipping issues of last year are no longer around! Kids always excited for books to arrive and the 6 weeks of last year was a bit long to wait!,All Other,Hopeful Shipping Improves This Year
Very Satisfied,but I hope there are no delays like there were last year!,All Other,Hopeful Shipping Improves This Year
Satisfied,We used to have a warehouse right in our community.  When it shut down last year the delay on getting books WAS HUGE!  I decided not to order last year.  I am going to try again and hope that parents get their orders sooner than later.,All Other,Hopeful Shipping Improves This Year
Satisfied,I hope shipping timeline has improved to pre pandemic schedule.,All Other,Hopeful Shipping Improves This Year
Satisfied,I am still a bit hesitant after last year's first order took over two months.  I shared with families this month but if orders do not come in within 2 weeks we will not send home to parents again.,All Other,Hopeful Shipping Improves This Year
Neutral,Last year I stopped ordering because it was a mess.  If it goes back to the previous year I would love to use it again.  I gave you scores based on last year.,All Other,Hopeful Shipping Improves This Year
Very Satisfied, Had problems last year with delivery of books.  Hope it goes better this year.,All Other,Hopeful Shipping Improves This Year
Very Disappointed,"After the multiple poor experiences I had last year, I am not participating in book orders in my classroom this year.",All Other,Hopeful Shipping Improves This Year
Very Satisfied,Ordered 2 Lego Ninjago Activity book.  Mrs Gugg9sbergm sent only one home.  Sending note to teacher tomorrow.  Thanks,All Other,Item Missing/Incorrect/Partial Order Received
Neutral, that were both missing from the shipment.,All Other,Item Missing/Incorrect/Partial Order Received
Very Satisfied,Came to check on student order that was shipped- wrong set of books was sent.,All Other,Item Missing/Incorrect/Partial Order Received
Satisfied,One of my students did not get a book she ordered.,All Other,Item Missing/Incorrect/Partial Order Received
